guild_name,chatgpt
maestri banderari dell'arte della seta,Master silk banner makers
maestri d'acqua,Water engineers and irrigation specialists
maestri d'ascia,Master shipwrights and carpenters
maestri d'ascia di carrozze,Master carriage builders
maestri d'ascia e calafati,Master shipbuilders and caulkers
maestri da muro,Master masons and bricklayers
maestri da muro e da legno,Master masons and carpenters
maestri del legname,Master woodworkers and lumber suppliers
maestri di cuoiami,Master leatherworkers
maestri di pietra e legname,Master stonecutters and carpenters
magazzinieri,Warehouse managers and storekeepers
magazzinieri del grano,Grain warehouse keepers
magazzinieri e tavernieri,Warehouse keepers and tavern owners
maggior arte del fuoco,Major Guild of Fire-related Trades
maiolicari,Maiolica (tin-glazed pottery) makers
mandoleri,Almond merchants and confectioners
manganatori,Cloth finishers using mangano (rolling presses)
manganeri,Textile workers using mangano machines
manifatturieri da tabacco in rolli,Manufacturers of rolled tobacco products
maniscalchi,Farriers and blacksmiths
marangoni,General carpenters and woodworkers
marangoni da case,House carpenters
marangoni da nave,Ship carpenters and shipbuilders
"marangoni, muratori, e tagliapietra","Carpenters, masons, and stonecutters"
marble cutter (marmorari),Marble sculptors and stoneworkers
marble cutters and sculptors (marmorari e scultori),Sculptors and stone masons specializing in marble
marescalchi,Farriers and blacksmiths
marinai,Sailors and seafarers
marinai e pescivendoli del borgo di santa lucia a mare,Sailors and fish sellers of Santa Lucia a Mare
marinari,Mariners and ship workers
marinari del generale delle galere,Sailors of the General Galleys
marinari del piliero,Sailors operating at the Piliero port
marinari della porta della calce,Sailors from the Lime Gate district
marinari di cannucciari,Sailors associated with the cane industry or reed trade
marinari di porto,Harbor sailors and dockworkers
marinari di porto salvo,Sailors of Porto Salvo (safe harbor)
marinari di s. lucia,Sailors of Saint Lucia
marinari di s. maria delle grazie,Sailors of Saint Mary of Grace
marinari e negozianti,Sailors and merchants
marinari e padroni di barche,Sailors and boat owners
marinari e pescatori,Sailors and fishermen
marmorai,Marble workers and stonecutters
marmorari,Marble sculptors and stonemasons
marmoratori e fabbricatori,Marble polishers and builders
marzeri,General merchants and retailers
maschereri,Mask makers
masons (fabbricatori),Builders and stonemasons
masons (li muraturi),Bricklayers and construction workers
masons (muratori),"Bricklayers, masons, and builders"
masons (muraturi),Variant spelling of masons (muratori)
masons and stone cutters (mastri muratori e pirriatori),Master masons and stonecutters
massari,Estate managers and financial administrators
mastellari,Bucket and tub makers
mastri cordari,Master rope makers
mastri d'ascia,Master shipwrights and structural carpenters
mastri luganesi,Master butchers specializing in sausage-making (Luganega sausages)
"mastrodatti, scrivani, e curiali","Court clerks, scribes, and legal officers"
materassai,Mattress makers and upholsterers
materazzari,Mattress makers (alternative spelling of materassai)
mattress makers (materassari),Craftsmen who made mattresses and bedding
mattress makers (materazzari),Craftsmen who made mattresses and bedding
medici e speziali,Doctors and pharmacists
mercanti,Merchants and traders
mercanti (confraternita),Merchant confraternity (trade association of merchants)
mercanti auroserici,Merchants specializing in gold and silk trade
mercanti catalani,Catalan merchants (foreign traders from Catalonia)
mercanti d'oro e argento falsi,Merchants of imitation gold and silver
mercanti da cordoani,Merchants of Cordovan leather
mercanti da ferrarezza,Iron and steel merchants
mercanti da legname,Timber merchants
mercanti da oro,Gold merchants
mercanti da panni lana,Wool cloth merchants
mercanti da seta,Silk merchants
mercanti da vin,Wine merchants
mercanti de spallere e tirintane,Merchants of embroidered shoulder garments and trimmings
mercanti di bestiame,Livestock merchants
mercanti di bestiame bovino e porcino,Merchants of cattle and pigs
mercanti di calze,Stocking and hosiery merchants
mercanti di diversi generi specie coloniali e aromati,"Merchants of colonial goods, spices, and aromatics"
mercanti di ferro,Iron merchants
"mercanti di grassa, casaroli","Fat, lard, and cheese merchants"
mercanti di lana,Wool merchants
mercanti di lione e fiandra,Lyon and Flanders cloth merchants
mercanti di opera bianca,Merchants of fine (white) textiles and goods
mercanti di tela,Linen and canvas merchants
mercanti di vino,Wine sellers and distributors
mercanti drappieri,Luxury fabric and cloth merchants
mercanti fiorentini,Florentine merchants
mercanti francesi,French merchants
"mercanti speziali, droghieri, manuali e cioccolatieri","Pharmacists, spice dealers, artisans, and chocolate makers"
"mercanti, venditori e tintori di panni lana","Merchants, sellers, and dyers of wool cloth"
mercatanti,General merchants
mercatores artis lanae,Wool trade merchants
mercatorum,Merchants and traders
merchants (li mercanti),General merchants and traders
merchants (li mircanti),General merchants and traders
merciai,Haberdashers (dealers in small wares and sewing goods)
merciai e correggia,Haberdashers and belt makers
merciai e drappieri,Haberdashers and luxury fabric merchants
merciaioli e trippaioli,Haberdashers and tripe vendors
merciariis,Haberdashers and small-scale traders
merzari,General merchants and retailers
messi,Messengers and couriers
mesuradori di formento e biave,Wheat and grain measurers
miniadori,Illuminators (decorators of manuscripts and books)
ministri e ufficiali del banco annunziata,Ministers and officials of the Bank of Annunziata
minolli,Unclear term (possibly related to milling or mining)
misuratori della raiba,Measurers of Raiba (possibly grain or goods weighing officials)
molendinarium,Millers and mill owners
molinari,Millers (grain and flour producers)
molinaroli,Miller's assistants and workers
mondezzai,Street cleaners and waste collectors
monte,Financial institution or charitable fund
mugnai,Millers
mulattieri,Mule drivers and transport workers
muratori,Masons and bricklayers
muratori e carcarari,Masons and lime kiln workers
muratori e carpentieri,Masons and carpenters
muratori e falegnami,Masons and woodworkers
muratori e fornasari,Masons and kiln operators
muratori genovesi,Genoese masons and builders
muratori lombardi,Lombard masons and builders
"muratori, scalpellini, tagliapietra e marmorari","Masons, stonecutters, and marble workers"
muratoriibus,Masons and builders
mureri,Masons and wall builders
muschieri da polvere di cipro,Musk and scented powder makers
musici,Musicians and composers
nail makers (tacciari o chiodaioli),Blacksmiths specializing in nails and metal fasteners
navaroli,Shipbuilders and maritime traders
negiari,Unclear term (possibly related to merchants or traders)
negozianti dei drappi di lana,Woolen fabric merchants
negozianti di stoffe di seta,Silk fabric merchants
negozianti e merciai,Merchants and haberdashers
nevaioli,Ice and snow merchants
nevajoli,Ice and snow merchants
nobili e artigiani,Nobles and artisans
nolezini e vetturali,Carriage renters and transporters
norcini e casciani,Pork butchers and cheesemakers
notariorum,Notaries and legal clerks
ofellari,Pastry makers and confectioners
offellari e festari,Pastry makers and festival organizers
officio dei mercanti da seta,Office of the Silk Merchants (Silk Trade Guild)
ogliarari,Oil vendors and traders
ogliari,Oil merchants
orafi,Goldsmiths and jewelers
orafi e argentieri,Goldsmiths and silversmiths
orefici,Goldsmiths and jewelers
orefici (conservatorio),Goldsmiths associated with a conservatory or guild institution
orefici argentatori,Goldsmiths and silver platers
orefici e argentieri,Goldsmiths and silversmiths
orefici e argentieri lavoranti,Journeyman goldsmiths and silversmiths
orefici ed argentieri,Goldsmiths and silversmiths (alternative wording of the above guilds)
orefici gioiellieri,Goldsmiths and jewelers
orgiaiuoli e venditori di legumi,Barley sellers and legume traders
orologeri,Clockmakers and watchmakers
orologiai,Clockmakers and horologists
ortolani,Market gardeners and vegetable growers
ortolani e padulani,Market gardeners and swamp workers
orzaiuoli e venditori di orzo e legumi,Barley and legume vendors
osti,Innkeepers and tavern owners
osti di borgo,Innkeepers in a specific district or town (Borgo)
osti e albergatori,Innkeepers and hotel owners
osti e tavernari,Innkeepers and tavern keepers
osti e tavernieri,Innkeepers and publicans
osti garzoni,Innkeeping apprentices and assistants
ottonari (arte sottile),Fine brass artisans
ottonari dei chiodi di carrozze,Brass nail makers for carriages
"ottonari, peltrari e lattonari","Brass workers, pewterers, and tinsmiths"
padroni di barche e marinari (monte),"Boat owners and sailors (associated with a Monte, or financial institution)"
painters (depittores),Artists specializing in painting and decorative arts
pan makers (calderari),Tinsmiths and pan makers
panerari,Basket makers
panettieri,Bakers
panettieri (confraternita),Brotherhood of bakers
panettieri alemanni,German bakers
panettieri di pane bianco,White bread bakers
panettieri di pane di mistura,Bakers of mixed-grain bread
pannieri,Wool and fabric merchants
paper makers (cartari),Manufacturers of paper products
paratori di panni,Cloth finishers and pressers
paroni,Ship owners and boat captains
parroci e sacerdoti (confraternita),Brotherhood of priests and clergy
parrucchieri,Hairdressers and wig makers
passamaneri,Trimming and braid makers
passamantai,Lace and decorative textile makers
pastai,Pasta makers
pasticceri,Pastry chefs and confectioners
pastori,Shepherds and livestock caretakers
pastry-cook/sweet makers (confettieri),Confectioners and candy makers
pastry-cooks (cubaitari),Specialists in nougat and candied sweets
paternostreri o margariteri,Rosary bead and pearl artisans
pattieri,Possibly related to leatherworkers or shoemakers
peciari stoppieri,Pitch and wick makers
pecorari affidati,Sheep herders under contract
pedlars (li merceri a bando),Itinerant haberdashers and street vendors
pegolotti,Tar and resin traders
pellacani,Leather processors and tanners
pellattieri,Leatherworkers and saddlers
pellettieri,General leather merchants and tanners
pellettieri e scamosciatori,Leather merchants and suede artisans
pellicciai,Furriers and fur traders
pellicciari,Furriers (variant spelling of pellicciai)
pellizzari,Furriers and pelisse makers
peltrari,Pewterers (artisans working with tin and pewter)
peltrari e lanternari,Pewterers and lantern makers
peltreri e stagneri,Pewterers and tinsmiths
perleri e suppialume,Pearl artisans and glassblowers
pescadori,Fishermen (general term for those engaged in fishing)
pescatori,Fishers and seafood traders
pescatori (monte),Fishermen associated with a financial institution (Monte)
pescatori del borgo di loreto,Fishermen from the Loreto district
pescatori di fiumi e di mare,Freshwater and seawater fishermen
pescatori e venditori di pesce,Fishermen and fishmongers
pescivendoli,Fishmongers
pescivendoli (borgo di s. lucia),Fishmongers of the Saint Lucia district
pescivendoli di chiaia in napoli,"Fishmongers of Chiaia, Naples"
pescivendoli e capiparanze,Fishmongers and boat captains
pestrineri,Dairy product makers (especially cheese and butter)
petteneri da tela,Flax combers and linen finishers
pettinatori di lana,Wool combers and preparers
pezzaioli,Rag sellers and fabric recyclers
pezzaroli,Rag pickers and secondhand clothing dealers
pharmacists (aromatari),Apothecaries and spice sellers
pharmacists (li speziali),Apothecaries and medical supply dealers
"pharmacists (speciali, speziali)",Pharmacists and apothecaries
pianetari,Manufacturers of priestly vestments and liturgical textiles
piccapietre e marmorari,Stonecutters and marble workers
pietra e legname,Stone and wood workers
pignolati,Possibly related to pine nuts or metal studs
piltrari (stagnari),Tinsmiths and pewterers
pinatari,Possibly painters or pine resin collectors
"pipernieri, fabbricatori e tagliamonti",Stoneworkers and builders specializing in piperno (volcanic stone)
pistori,Bakers and flour processors
pittori,Painters and artists
pittori e indoratori,Painters and gilders
pizzicagnoli e olianduoli,Grocers and oil merchants
pizzicaioli,General grocers and spice merchants
pizzicaroli,Deli and cured meat vendors
pizzicaroli e cetrangolari,Deli merchants and cucumber sellers
pollaroli,Poultry vendors
pollieri,Poultry sellers and caretakers
pollieri al publico,Public poultry vendors
pollieri e caprettari,Poultry and goat meat vendors
pollivendoli,Poultry sellers and egg traders
pollivendoli e venditori di frutta,Poultry and fruit vendors
portatori da sacco al mulino,Sack carriers for mills
portatori da sacco al porto catena,Sack carriers at the chain port
portatori da vino,Wine transporters
portatori di vino,Wine carriers and delivery workers
porters and servants (porteri e serventi),General laborers and household servants
potter (quartarari),Jug and pitcher makers
potters (cannatari),Clay pipe and vessel makers
potters (li vasellari),General ceramic artisans and pottery makers
potters (quartarari),Jug and pitcher makers
pozzaroli o dugaruoli,Well diggers and water carriers
preconi,Public criers and announcers
prestinari,Bakers specializing in fine bread
produttori di veli o velari,Veil and fine fabric makers
profumieri e guantai,Perfumers and glove makers
profumieri e guantari,Perfumers and glove sellers
purgatori e rivedini,Cloth refiners and inspectors
"purgatori, rivedini e cimatori, tessitori di lana, lanini e cappellari","Textile refiners, wool weavers, and hat makers"
quaglieri,Quail breeders and traders
quartegrantibus bestiae,Animal tax collectors or livestock inspectors
quoiai,Leather workers and saddlers
radaroli,Possibly surveyors or tax collectors
raffinatori di zucchero,Sugar refiners
ramai,Coppersmiths
ramai e magnani,Coppersmiths and blacksmiths
rebairoli,"Unclear term, possibly related to rebbec makers or repairers"
remeri,Oar and paddle makers
remorari,Boat rowers and ferry operators
repezzini,Patchmakers and repairmen
repostieri,Dessert and pastry chefs
revendaroli,Street vendors and petty traders
ricamatori,Embroiders
ricamatori (confraternita),Embroidery guild or brotherhood
rigattieri,Secondhand clothing dealers and fabric traders
rigattieri o pattari,Secondhand goods sellers and patch traders
"rigattieri, linaioli e sarti","Secondhand dealers, linen merchants, and tailors"
rivenditori,Retailers and resellers
rivenditori di bambacia,Cotton resellers
rivenditori di farine,Flour resellers
rivenditori di opera bianca,White cloth and fine textile resellers
ropemakers (cordari),Rope makers
ropers (accimatori),Fiber combers and rope processors
ropers (cordari),Rope makers
ropers (funaioli),Rope makers
ropers (li cordari),Rope makers
ropers (li curdara),Rope makers
"rotari, arte e maestranze",Wheelwrights and related trades
sabioneri,Sand extractors and transporters
saddle makers (sellai),Saddle makers and harness craftsmen
saddle makers (sellari),Saddle makers and harness craftsmen
sagomadori da oglio,Oil molders and press operators
sailors (li marinari),General sailors and seafarers
sailors (li navi),Ship workers and crew members
sailors (marinari),General sailors and seafarers
sailors (mercatores maritimi),Maritime merchants
"sailors and fishermen (marinai e pescatori di terracina di borgo, di piedigrotta, di kalsa)",Regional guild of sailors and fishermen
sailors and fishermen (marinari e pescatori di terracina),Fishermen and sailors from Terracina
salaioli,Salt vendors
salaroli,Cured meat and salted fish vendors
salsamentari,Sausage and salted meat producers
salsamentari e postari,Sausage makers and food preparers
salsamentari o salumai,Sausage makers and charcutiers
salsicciai e formaggiai,Sausage and cheese makers
salsicciari,Sausage makers
salsicciari e lardaroli,Sausage makers and lard vendors
salsumari e casiogli,Salted meat and cheese vendors
salsumari e casiogli (confraternita),Brotherhood of cured meat and cheese sellers
salsumari e potecari lordi (monte),Salted meat vendors and general provisioners (under a Monte financial system)
salumari,Producers of cured meats and sausages
salumieri,Butchers and delicatessen owners
saoneri,Soap makers
saponai e mercanti di olio,Soap makers and oil merchants
saponari,Soap makers
sarti,Tailors
sarti e calzettai,Tailors and stocking makers
sarti e giubbonari lavoranti e garzoni,Journeyman tailors and jacket makers
"sarti, mercanti di abiti vecchi, cimatori di panni e battitori di cotone","Tailors, secondhand clothing merchants, textile shearing specialists, and cotton processors"
sartori,Tailors
sartori e pateri,Tailors and textile dealers
scaleteri,Confectioners and pastry makers
scamosciatori,Suede leather workers
scamosciatori del mercato grande,Suede leather workers of the main market
scamosciatori e guantari,Suede leather artisans and glove makers
scaricatori di vino,Wine unloaders and transporters
scarpari,Shoemakers
scartaggini,Possibly textile workers or fabric refiners
scavezzadori,Metal cutters and refiners
schiopetteri,Gun makers and firearms specialists
scodellari e stovigliai,Bowl makers and dishware artisans
scodellari e tornitori,Bowl makers and wood turners
scopari,Broom makers
scopari (monte),Broom makers (under financial regulation by a Monte institution)
scorzeri,Tanners and leatherworkers
"scrittori d'ebano, avorio, legnami, oro e argento","Writers and engravers of ebony, ivory, wood, gold, and silver"
scrivani (monte),Scribes and clerks (regulated by Monte financial institutions)
"scrivani della regia camera,",Royal court scribes and record keepers
scrivani fiscali,Tax clerks and financial record keepers
sculptors (scultores),Artists specializing in sculpture
sculptors/marble cutters (scarpellini e marmorari),Stone sculptors and marble workers
scultori,Sculptors
scultori di marmo e marmorari,Marble sculptors and stonecutters
scultori e intagliadori,Sculptors and wood carvers
scultori e scalpellini,Sculptors and stone masons
scythe makers (falcenuriori),Makers of scythes and agricultural tools
seassieri,Possibly furniture makers or chair artisans
sediari,Chair makers and furniture artisans
sediari del quartiere della porta di s. gennaro,Chair makers from the district of Porta di San Gennaro
segadori,Reapers and harvesters
segettari,Possibly related to sawyers or secretaries
segettari di portantina del largo carita,Porters for sedan chairs in Largo Carità
seggiari di noce,Walnut chair makers
seggiolari di paglia,Straw chair makers
sellai,Saddle makers
sellai e bastari,Saddle makers and pack saddle makers
sellari,Saddle makers
sellari e baulari,Saddle makers and trunk makers
selleri,Saddle makers and leather workers
sensali,Brokers and intermediaries
sensali di ripa e ripetta,Brokers of Ripa and Ripetta (harbor traders)
senseri di rialto,Brokers of the Rialto market (Venice)
serratori di tavole,Board and plank sawyers
servienti di gran corte di vicaria,Servants of the Great Court of Vicaria
servitori (confraternita),Brotherhood of servants
"seta, arte della",The Silk Trade Guild
setaioli,Silk weavers and merchants
sgargiotti,Possibly dyers or fabric finishers
shoemakers (calzolai e ciabattini),Shoemakers and cobblers
shoemakers (calzolai),Shoemakers
shoemakers (corviseri),Fine leather shoemakers
shoemakers (curbeseria),Leatherworkers and shoemakers
shoemakers (curviseri),Luxury shoemakers
shoemakers (li corbiseri),Regional term for shoemakers
shoemakers (scarpara),Shoemakers 
shoemakers (scarpari),Shoemakers and cobblers
shoemakers and leather workers (curviseli e cunzaturi),Luxury shoemakers and leather finishers
shop and inn keepers (bottegari e tavemari),Shopkeepers and tavern owners
shop keepers (recapteri o rigattieri),Secondhand goods sellers and general shopkeepers
shopkeepers (li putiari),Retail merchants and market sellers
shopkeepers (putegari),Retailers and small traders
silk consuls (consoli della seta),Regulators of the silk trade
silk weavers (maestri di opera piana della seta),Master weavers of flat silk textiles
silk weavers (setaioli),Silk textile producers
silver and goldsmiths (argentieri e orefici),Silversmiths and goldsmiths
silver and goldsmiths (orefici e argentieri),Goldsmiths and silversmiths
silver- and goldsmiths (aurifabri),Latin term for gold and silversmiths
silversmiths (arginteri),Silversmiths and silver traders
silversmiths (li arginteri),Regional spelling of silversmiths
slipper makers (planellarii),Makers of slippers and soft footwear
smiths (ferrari),Blacksmiths and metalworkers
smiths (frenali),Bridle and bit makers
smiths (maniscalchi),Farriers and horseshoe makers
soap makers (saponari),Manufacturers of soap and cleaning products
sock and jacket makers (calcitteri e gipponari),Stocking and jacket makers
sock makers (calzettari),Hosiery and stocking manufacturers
sock makers working old silk (calzettieri di seta vecchia),Stocking makers using recycled silk
sogai,"Unclear, possibly related to textile workers"
solfarinari,Sulfur extractors and dealers
sonadori,Musicians and instrumentalists
sonatori di fiato,Wind instrument players
sosamellari,Possibly honey or syrup makers
spadari,Sword makers
spadari e coltellieri,Sword and knife makers
spaderi,Sword makers
specchieri,Mirror makers
speziali,Apothecaries and pharmacists
speziali di medicina,Medical apothecaries
speziali di medicine (monte),Medical apothecaries under a Monte financial system
speziali droghieri,Pharmacists and spice merchants
speziali e aromatari,Apothecaries and perfumers
speziali e merciai,Pharmacists and haberdashers
speziali e protomedicato,Pharmacists and the medical regulatory board
speziali farmacisti,Pharmacists specializing in medicine
speziali manuali (monte),Manual apothecaries under Monte financial regulation
"speziali manuali, droghieri e cioccolatieri","Manual pharmacists, spice merchants, and chocolate makers"
speziali non farmascisti,Apothecaries not dedicated to pharmacy
spezieri da grosso,Wholesale spice and drug merchants
spezieri da medicinale,Medicinal spice and drug sellers
squerarioli,Shipbuilders (Venetian term)
stadereri,Scale and weight makers
stagnai,Tinsmiths
stagnari,Tinsmiths 
stallieri,Stable workers and grooms
stallieri e nolezini,Stable hands and carriage rental workers
stampadori e libreri,Printers and booksellers
"stampatori e librari, cercheri, cestai, setacciatori","Printers, booksellers, basket makers, and sieve makers"
stazioneri da vero,Possibly stationers and writing supply vendors
stioeri,Possibly related to fabric finishers or dyers
stone cutters (perreatori),Masons and stonecutters
stone cutters/sculptors (scarpellini),Fine stone workers and sculptors
stopperi di seta,Silk wick makers
stoppieri,Wick makers
stracceri,Rag collectors and recyclers
straccivendoli,Used clothing and fabric sellers
stramazzeri,Mattress makers
strapontieri,Makers of collapsible or folding chairs
strazzaroli,Dealers in secondhand fabrics
sugar makers (cannamelari),Sugarcane refiners
sugar markers (zuccareri),Sugar refiners and confectioners
suolai,Sole makers (for shoes and leather goods)
suonatori di corde,String instrument players
"suonatori di trombetta, ciaramella e corde di musica","Trumpet, shawm, and string instrument players"
sutoribus,Shoemakers
sword makers (li spatari),Swordsmiths
sword makers (spadari),Weaponsmiths
sword makers (spatari),Swordsmiths
sword-makers (spadari),Swordsmiths
tabinari,Possibly related to tavern keepers or food sellers
tagliapietra,Stonecutters
tagliapietre e marmorini,Stonecutters and marble workers
tailors (custureri),Sewers and clothing makers
tailors (custureria),Tailoring shops and garment producers
tailors (mastri custureri),Master tailors
tailors (sarti),Tailors and garment makers
tailors (sartori),Tailors and garment makers
tailors (sutores),Shoemakers and tailors
tailors and jacket makers (sarti e gipponari),Tailors and doublet/jacket makers
tailors and shoemakers (mastri sartori e calzolai),Master tailors and shoemakers
tailors for clerical cloths (zimmatori),Clerical garment makers
tamiseri,Sieve and filter makers
tanners (conciatori),Leather tanners
tanners (conzarioti),Leather tanners
tanners (li conzaturi),Leather finishers and curriers
tapezzieri,Upholsterers and tapestry makers
tappezzieri,Alternative spelling for upholsterers
tarallari padroni dei forni,Taralli bakers and oven owners
tavernari,Tavern keepers and innkeepers
tavernari di vino a minuto,Retail wine sellers
tavernieri,Tavern owners and publicans
tavernieri e albergatori,Tavern keepers and innkeepers
telajoli di drappi di oro ed argento,Weavers of gold and silver cloth
telajoli di seta,Silk weavers
telajoli di tela bianca,White linen weavers
tellaroli,Weavers and loom operators
teologi tessitori di trine e di passamani,Theologians and lace/braid weavers
terazzeri,Brick and tile makers
terraioli,Clay workers and ceramic artisans
tesseri da panni lana,Wool cloth weavers
tesseri da tela,Linen cloth weavers
tessitori,Weavers (general term)
tessitori auroserici,Gold and silk weavers
tessitori d'oro e d'argento a spolino,Weavers of gold and silver brocade
tessitori da seta,Silk fabric weavers
tessitori di bindelli e lavorini,Weavers of ribbons and small textile trimmings
tessitori di calze al telaio,Stocking weavers using looms
tessitori di calzetta,Stocking weavers
tessitori di drappi,General fabric weavers
tessitori di drappi di lana e seta,Weavers of wool and silk cloth
"tessitori di drappi di seta, bavella, lana","Weavers of silk, bavella (coarse wool), and fine wool fabrics"
tessitori di lana,Wool weavers
tessitori di lino,Linen weavers
"tessitori di lino, lana e seta","Weavers of linen, wool, and silk fabrics"
tessitori di panni,Cloth weavers
tessitori di panni di lana,Wool cloth weavers
tessitori di panni di seta,Silk cloth weavers
tessitori di panni lana,Wool textile weavers
tessitori di panni lini,Linen fabric weavers
tessitori di panni lino,Linen fabric weavers
tessitori di tela e teletta,Weavers of plain and fine fabrics
tessitori di tele di lino e canapa,Weavers of linen and hemp cloth
tessitori di tele e tovaglioli,Weavers of cloth and table linens
tessitori di velluto o velluteri,Velvet weavers
"tessitori e orditori delle tele di lino, fustagno, spalliere","Weavers and warpers of linen, fustian, and decorative cloths"
tessitori panni lana,Wool cloth weavers
testori,Possibly related to fabric testers or felt makers
testori da tela,Linen fabric inspectors or testers
tin workers (stagnari),Tinsmiths
tin workers (stagnatari),Variant spelling of tinsmiths
tintori,Dyers
"tintori d'arte maggiore, minore e da seta","Master dyers of major, minor, and silk fabrics"
"tintori da lana, filo e cotone","Wool, thread, and cotton dyers"
tintori da seta,Silk dyers
tintori di cappelli d'opera vecchia,Dyers of old-style hats
tintori di drappi colorati,Dyers of colored fabrics
tintori di fustagno,Fustian fabric dyers
tintori di lana in guado,Wool dyers using woad
tintori di negro (arte della seta),Dyers of black silk
tintori di panni lana,Wool cloth dyers
tintori di seta,Silk dyers
tintori di seta e lana,Dyers of silk and wool
tintori di sete nere e a colori,Dyers of black and colored silks
tintori in seta,Silk dyeing specialists
tira e battioro,Gold wire drawers and beaters
tiratori di ferro e ottone filato seu per trafila,Iron and brass wire drawers
tiratori di oro e di argento,Gold and silver wire drawers
tiratori di oro e di argento (monte),Gold and silver wire drawers (under Monte financial oversight)
tiratori o tessitori d'oro e d'argento,Gold and silver thread weavers
torch makers (torciari),Candle and torch makers
tornieri e sellari,Turners and saddle makers
tornitori,Wood turners
tornitori e lanternari,Wood turners and lantern makers
tovagliari,Table linen makers
tracollari,Shoulder strap makers
traghetto a ca' di dio,Ferry service at Ca' di Dio (Venice)
traghetto a san cangiano,Ferry service at San Cangiano
traghetto ai barileri,Ferry service at the barrel makers' dock
traghetto ai camerlenghi,"Ferry service at the financial offices (Camerlenghi Palace, Venice)"
traghetto al ponte della paglia,Ferry service at the Bridge of Straw
traghetto al ponte di rialto,Ferry service at the Rialto Bridge
traghetto alla carita,Ferry service at the Charitable House
traghetto alla fava,Ferry service at La Fava district
traghetto alla giudecca,Ferry service to the Giudecca island
traghetto alla maddalena,Ferry service at the Maddalena district
traghetto alle due colonne di s. marco,Ferry service at the two columns of St. Mark's Square
traghetto da mirano,Ferry service from Mirano
traghetto da s. marcuola,Ferry service from San Marcuola
traghetto da s. silvestro,Ferry service from San Silvestro
traghetto da s. toma,Ferry service from San Tomà
traghetto dei santi giovanni e paolo,Ferry service at Saints John and Paul area
traghetto del buso,"Ferry service at the ""hole"" (possibly a canal entrance)"
traghetto del ghetto novo,Ferry service at the New Ghetto
traghetto del ghetto vecchio,Ferry service at the Old Ghetto
traghetto della dogana da mar,Ferry service at the Maritime Customs House
traghetto della pieta,Ferry service at the Church of La Pietà
traghetto della polesella,Ferry service at Polesella
traghetto della riva del carbon,Ferry service at the Coal Wharf
traghetto della trinita,Ferry service at the Holy Trinity area
traghetto di ca' dolfin,Ferry service at Ca' Dolfin (Dolphin House)
traghetto di ca' mosto,Ferry service at Ca' Mosto
traghetto di cavarzere,Ferry service at Cavarzere
traghetto di legnago,Ferry service at Legnago
traghetto di lizza fusina,Ferry service at Lizza Fusina
traghetto di mestre e marghera,Ferry service between Mestre and Marghera
traghetto di pordenone,Ferry service at Pordenone
traghetto di portogruaro,Ferry service at Portogruaro
traghetto di rovigo,Ferry service at Rovigo
traghetto di s. barnaba,Ferry service at San Barnaba
traghetto di s. benedetto,Ferry service at San Benedetto
traghetto di s. caterina,Ferry service at Santa Caterina
traghetto di s. domenico al castello,Ferry service at San Domenico Castle
traghetto di s. felice,Ferry service at San Felice
traghetto di s. geremia,Ferry service at San Geremia
traghetto di s. lucia,Ferry service at Santa Lucia
traghetto di s. margherita,Ferry service at Santa Margherita
traghetto di s. maria del giglio,Ferry service at Santa Maria del Giglio
traghetto di s. maria formosa,Ferry service at Santa Maria Formosa
traghetto di s. sofia,Ferry service at Santa Sofia
traghetto di vicenza,Ferry service at Vicenza
traghetto di vigo di chioggia,"Ferry service at Vigo, Chioggia"
trainieri,Animal trainers and handlers
travasadori da oglio,Oil decanters and refiners
travasadori e portadori da vin,Wine decanters and transporters
tricolis et venditoribus olei,Olive oil and trinket sellers
trombettieri e suonatori a fiato,Trumpeters and wind instrument players
trousseau makers (corredatori),Makers of bridal and household linen sets
trucchieri,Cosmetic and wig makers
turners (tornari),Wood and metal turners
ubrieri della regia zecca,Gold refiners of the Royal Mint
ufficiali di mare (confraternita),Brotherhood of naval officers
universita' dei fabbricanti,Guild of manufacturers
universita' del pignolato e panno di lino,Guild of linen and coarse cloth makers
universita' di por san pietro,Trade association of San Pietro district
universita' di por san pietro e dei fabbricanti,Trade association of San Pietro and manufacturers
untori,Disinfectors and plague cleaners
vaccinari,Cattle handlers and butchers
vaiai e cuoiai,Furriers and leatherworkers
vaiai e pellicciai,Furriers and pelisse makers
vairari,Squirrel fur traders
varoteri,Possibly leather workers or furriers
vasai,Potters
vasariis,Potters 
vasellari,Crockery and dishware makers
vazineri,Possibly glassmakers or vase artisans
vedrari,Glassmakers
veluderi,Velvet makers
velvet workers (vellutari),Velvet textile artisans
"venditori ambuanti di ciambelle, collazieri e scalettieri","Itinerant vendors of bagels, small cakes, and biscuits"
venditori di frutta,Fruit vendors
venditori di pesce nostrano,Local fish vendors
venditori di pesci,General fish vendors
verdummari,Vegetable vendors
verieri,Glassmakers and window craftsmen
vermicellari,Pasta makers (vermicelli producers)
verreri,Glass artisans
vetrai,Glassmakers
vetrai e lanternai,Glassmakers and lantern manufacturers
vetrari,Glass artisans (alternative spelling of vetrai)
vetturali,Carriage drivers and transporters
vetturali e gualcatori di panni,Carriage drivers and fullers
vigaroli,Possibly vineyard workers or tree farmers
vignaioli,Vineyard workers and winemakers
vinattieri,Wine merchants and sellers
